电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['利刃出鞘 Knives Out'],['8.2'],['莱恩·约翰逊'],"['丹尼尔·克雷格', '安娜·德·阿玛斯', '克里斯·埃文斯', '杰米·李·柯蒂斯', '迈克尔·珊农', '唐·约翰逊', '托妮·科莱特', '勒凯斯·斯坦菲尔德', '克里斯托弗·普卢默', '凯瑟琳·兰福德', '杰登·马泰尔', '瑞琪·琳德赫姆', '艾迪·帕特森', '弗兰克·奥兹', 'K·卡兰', '诺阿·西甘', 'M·埃梅特·沃尔什', '玛琳娜·福特', '劳尔·卡斯提洛', '雪莉·罗德里格斯', '约瑟夫·高登-莱维特', '加布里埃尔·洛莱斯']",[],"['剧情', '喜剧', '悬疑', '犯罪']",['130'],[' 英语 / 西班牙语'],['500756'],[' 美国']
['我不是药神'],['9.0'],['文牧野'],"['徐峥', '王传君', '周一围', '谭卓', '章宇', '杨新鸣', '王佳佳', '王砚辉', '贾晨飞', '龚蓓苾', '宁浩', '李乃文', '岳小军', '苇青', '富冠铭', '巴拉特·巴蒂', '喜利图', '张海艳', '朱耕佑']","['07', '06']","['剧情', '喜剧']",['117'],[' 汉语普通话 / 英语 / 上海话 / 印地语'],['1491220'],[' 中国大陆']
['哪吒之魔童降世'],['8.5'],['饺子'],"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",[],"['剧情', '喜剧', '动画', '奇幻']",['110'],[' 汉语普通话'],['1423315'],[' 中国大陆']
['少年的你'],['8.3'],['曾国祥'],"['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭', '谢欣桐', '刘然', '何廖侣匀', '胖虎', '罗俊林']",[],"['剧情', '爱情', '犯罪']",['135'],[' 汉语普通话'],['1052636'],[' 中国大陆']
['春潮'],['7.2'],['杨荔钠'],"['郝蕾', '金燕玲', '曲隽希', '李文波', '黄尚禾']",[],"['剧情', '家庭']",['124'],[' 汉语普通话'],['20932'],[' 中国大陆']
['流浪地球'],['7.9'],['郭帆'],"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']",[],"['科幻', '冒险', '灾难']",['125'],[' 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语'],['1529619'],[' 中国大陆']
['绿皮书 Green Book'],['8.9'],['彼得·法雷里'],"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫', '迈克·哈顿', 'P·J·伯恩', '乔·柯蒂斯', '玛姬·尼克松', '冯·刘易斯', '乔恩·索特兰', '唐·斯达克', '安东尼·曼加诺', '保罗·斯隆', '珍娜·劳伦索', '肯尼斯·以色列', '伊克博·塞巴', '尼克·瓦莱隆加', '大卫·安', '迈克·切罗内', '杰拉尔丁·辛格', '马丁·巴特斯·布拉德福德', '格拉伦·布莱恩特·班克斯', '汤姆·维图', '夏恩·帕特洛', '丹尼斯·W·霍尔', '吉姆·克洛克', '戴恩·罗兹', '布赖恩·斯特帕尼克', '乔恩·迈克尔·戴维斯', '布莱恩·库瑞', '托尼亚·马尔多纳多']","['09', '11']","['剧情', '喜剧', '传记']",['130'],[' 英语 / 意大利语 / 俄语 / 德语'],['1067982'],[' 美国']
['误杀'],['7.7'],['柯汶利'],"['肖央', '谭卓', '陈冲', '姜皓文', '秦沛', '边天扬', '许文姗', '张熙然', '施名帅', '黄健玮']",[],"['剧情', '悬疑', '犯罪']",['112'],[' 汉语普通话'],['536419'],[' 中国大陆']
['我和我的祖国'],['7.8'],"['陈凯歌', '张一白', '管虎', '薛晓路', '徐峥', '宁浩', '文牧野']","['黄渤', '张译', '韩昊霖', '杜江', '葛优', '刘昊然', '宋佳', '王千源', '任素汐', '吴京', '朱一龙', '王东', '陈飞宇', '佟丽娅', '欧豪', '张嘉译', '惠英红', '龚蓓苾', '田壮壮', '韩东君', '辛柏青', '周冬雨', '任达华', '江珊', '王砚辉', '耿乐', '姜武', '梁静', '佟大为', '魏晨', '胡军', '王天辰', '彭昱畅', '罗海琼', '郭丞', '周依然', '樊雨洁', '刘涛', '马伊琍', '张建亚', '徐峥', '王洛勇', '高亚麟', '王道铁', '程禹森', '马书良', '景海鹏', '陈冬', '雷佳音', '张子枫', '陶虹', '郭京飞', '袁文康', '贾晨飞', '邵汶', '张芝华', '段博文', '郎平']",[],['剧情'],['155'],[' 汉语普通话'],['734439'],[' 中国大陆']
['头号玩家 Ready Player One'],['8.7'],['史蒂文·斯皮尔伯格'],"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·伊内森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']","['03', '03', '03']","['动作', '科幻', '冒险']",['140'],[' 英语 / 日语 / 汉语普通话'],['1009339'],[' 美国']
['西虹市首富'],['6.6'],"['闫非', '彭大魔']","['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远', '魏翔', '赵自强', '九孔', '李立群', '王成思', '徐冬冬', '艾伦', '杨皓宇', '黄才伦', '王力宏', '包贝尔', '郎咸平', '张绍刚', '杨文哲', '陶亮', '王赞', '黄杨', '刘鉴', '杨沅翰', '林炳宝', '骆佳', '陈昊明', '臧一人']",['07'],['喜剧'],['118'],[' 汉语普通话'],['783192'],[' 中国大陆']
['寄生虫 기생충'],['8.7'],['奉俊昊'],"['宋康昊', '李善均', '赵汝贞', '崔宇植', '朴素丹', '李静恩', '张慧珍', '郑知晓', '朴明勋', '朴叙俊', '朴根祿', '郑贤俊', '朴孝新', '安德烈亚斯·弗龙克']",[],"['剧情', '喜剧']",['132'],[' 韩语 / 英语'],['966100'],[' 韩国']
